order_id,user_id,food_id,timestamp,mood,weather,location,rating
198d0c06-be71-415c-a629-ee3b38819f63,d3dfd2d3-f5a4-4db1-ba28-ee192473f8bb,9da1416c-65a5-41a2-bdd8-9af502af0c6b,2024-05-29 13:32:37.754126,Relaxed,Windy,Port Daniel,3
49401400-a92c-444e-8236-8bfcd3c72ec4,d3dfd2d3-f5a4-4db1-ba28-ee192473f8bb,38452d63-0ce0-41ca-9ab2-3f39dfbef325,2024-12-31 21:52:37.769338,Sad,Cloudy,Port Daniel,1
99465703-39c3-4581-89f0-9e667c1f5591,e3dfc17a-f38f-4d0d-ae63-7fad6fb34420,e6b82154-654f-4ebb-97b3-194f9d35a20e,2024-09-07 06:20:53.747906,Sad,Sunny,Brandyborough,4
a14a2451-d468-4368-9d62-3a112bb1f418,17a37c0e-e71d-4f0a-9663-ec2df9dcb95d,8735cd4b-c10a-48dd-8647-8f9d573f853c,2024-02-08 17:47:26.781699,Adventurous,Cloudy,Rowebury,1
133b4326-c372-4611-a289-41aa1b4872e3,18c134fc-3d2a-4819-ae19-8d4ec7397b60,247be5aa-640f-471b-bc5e-566abd29512a,2024-02-06 12:12:03.585032,Adventurous,Sunny,Wilkinsonland,5
f29aa3d8-c48f-427d-aec2-6bb3a5e802e7,ce62e954-810e-44ed-8494-1229125300b5,14ccee78-e6f3-48c2-a7e5-075bba2b4d63,2024-06-21 20:10:11.449401,Relaxed,Cloudy,Lake Keithborough,5
3b2b00ac-3876-4db2-b4b5-687ea2a09ebd,e9bf6f72-3e0d-4ecf-bd75-f6ebea8325c6,4f6eb836-4d6e-4783-8a50-950d22c7f04e,2023-08-02 12:06:14.758738,Stressed,Rainy,East Todd,2
bbbcba3a-0c9e-4300-b803-31eae1a7ca98,ce62e954-810e-44ed-8494-1229125300b5,02a14693-49e9-4242-ae0e-92a7f45e2841,2023-05-31 16:03:36.207459,Relaxed,Cloudy,Lake Keithborough,2
8d12d909-4019-45c5-8d27-003c4f1495cb,e264bdcf-384f-4ee6-9b41-c8d6339cfaa2,ac183e5c-0023-4efb-9830-f7b1ca12f332,2024-07-13 11:27:05.488394,Sad,Sunny,Marcusland,3
0b9dd17c-d2d7-4db7-b046-ce0a99728f53,2bb74728-cb88-4716-ba49-2e7876736e3d,3c2d32be-af6a-4351-867d-100aea0633a0,2024-01-16 23:47:00.467214,Stressed,Windy,Lake Robertshire,2
