food_id,name,cuisine,category,price,tags,attributes
42dd5246-937f-44c5-92a5-54f004745c33,"""Star-Spangled Mac Attack""",American,Lunch,11.88,"['Vegetarian', 'Kosher']",Savory
6d5a1830-ab03-4b62-a880-873f850e2f94,"""Spicy Masala Delight""",Indian,Lunch,10.06,"['Vegan', 'Vegetarian']",Spicy
f8f4f2ef-b2c8-4825-bc44-989c79b36639,Fiesta de Queso y Jalapeño: A zesty and cheesy Mexican dish featuring jal,Mexican,Main Course,23.68,"['Keto', 'Gluten-Free']",Savory
07b5bfcf-1db7-45cc-89e6-26ec3b6c9597,"""Tokyo Temptation Bento Box""",Japanese,Dessert,5.7,"['Halal', 'Keto']",Savory
a082f803-38c8-424f-b94e-3784ad7f24de,"""Southern Comfort BBQ Mac Attack""",American,Dessert,19.4,"['Vegan', 'Halal']",Spicy
8d86abf7-616c-40b7-bf77-aa5b43f1817d,"""Smoky Maple Bacon Mac 'n' Cheese Delight""",American,Main Course,14.51,"['Vegan', 'Halal']",Tangy
c4c00b26-ed09-4fb6-be32-1ecc8d10163a,"""Fiesta Fajita Extravaganza""",Mexican,Appetizer,12.21,"['Keto', 'Kosher']",Spicy
4840109e-2577-484d-9f5d-b0d6c7359acd,"""Bangkok Street Noodle Fiesta""",Thai,Breakfast,19.52,"['Vegetarian', 'Halal']",Savory
680fd3ce-73de-4b03-8fd5-1a4176f337f3,Fiesta Fajita Fiesta,Mexican,Appetizer,27.63,"['Vegetarian', 'Keto']",Spicy
3c2d32be-af6a-4351-867d-100aea0633a0,"""Sakura Sizzle Bowl""",Japanese,Main Course,26.87,"['Kosher', 'Vegan']",Tangy
b5fb524a-cfdf-4286-8113-8de1e89dc037,"""Thai Spice Symphony""",Thai,Main Course,7.72,"['Vegetarian', 'Gluten-Free']",Savory
14ccee78-e6f3-48c2-a7e5-075bba2b4d63,"""Pasta Paradiso Alla Tricolore""",Italian,Appetizer,8.04,"['Vegetarian', 'Keto']",Tangy
ce77ded4-2998-4aea-a4f1-6e817b91f6d0,"""Enchiladas Fiesta Fantástica""",Mexican,Dinner,6.03,"['Vegetarian', 'Gluten-Free']",Tangy
7b89892c-0903-4fd8-99a9-a4898e7d824e,"""Tokyo Twist Tempura Bento Box""",Japanese,Appetizer,5.6,"['Vegetarian', 'Keto']",Savory
ea2adea5-ed2c-46a7-9e0d-58467832d699,"""Southern Comfort Crunchwrap""",American,Lunch,28.09,"['Kosher', 'Halal']",Spicy
7a440263-da1e-426d-b6b9-4dd165dd2678,"""Zesty Pesto Parmigiana Pasta""",Italian,Dessert,19.07,"['Kosher', 'Halal']",Sweet
70abedca-c570-4e50-b4df-955e71c0fad4,"""Southern Comfort Bowl""",American,Dinner,5.28,"['Halal', 'Vegan']",Spicy
7be1bc5a-87e8-43c7-8f11-af7a2756132c,"""Bangkok Street Spice Explosion""",Thai,Appetizer,20.92,"['Kosher', 'Vegetarian']",Tangy
13c5ed8d-0438-4d32-a8f8-742251b67853,"""Tandoori Fusion Delight""",Indian,Dessert,26.08,"['Vegan', 'Keto']",Sweet
02a14693-49e9-4242-ae0e-92a7f45e2841,"""Nonna's Rustic Ravioli Rendezvous""",Italian,Dinner,16.32,"['Kosher', 'Halal']",Spicy
89997e8a-1a5b-4885-b357-96df45653da9,"""Enchiladas Fiesta Supreme""",Mexican,Breakfast,13.16,"['Kosher', 'Vegan']",Sweet
72dd82ec-6e88-445e-acad-2d9ce35c550b,Sakura Blossom Bento Box,Japanese,Appetizer,24.54,"['Vegetarian', 'Gluten-Free']",Spicy
04a30577-49d3-4e3b-ac76-6da92e01c892,"""Spicy Basil Bliss Stir-fry""",Thai,Breakfast,11.58,"['Keto', 'Vegan']",Sweet
8518154d-2f2f-429a-bc92-57bdbb19806f,"""Tokyo Temptation Roll""",Japanese,Dessert,8.99,"['Gluten-Free', 'Vegetarian']",Tangy
a58505a3-b880-424b-9cfb-80816c6993eb,"""Nonna's Truffle Dreams""",Italian,Dessert,21.44,"['Kosher', 'Keto']",Savory
a1f33808-48cc-483b-8973-230915cf5ad0,"""Spicy Mango Tango Chicken Stir-Fry""",Thai,Main Course,24.91,"['Gluten-Free', 'Kosher']",Spicy
247be5aa-640f-471b-bc5e-566abd29512a,"""Southern Comfort Mac Attack""",American,Dinner,26.15,"['Halal', 'Vegan']",Savory
39354c4d-f96e-4d45-9ffa-0b5cfea8c241,"""Tandoori Tango Delight""",Indian,Main Course,18.16,"['Vegan', 'Keto']",Spicy
3d397c97-b7fd-40b7-956b-353ef56fe069,"""Bangkok Bliss Bowl""",Thai,Dinner,26.97,"['Kosher', 'Halal']",Savory
d7a9ce06-0058-4adb-a5fa-1b308cba72c8,"""Tandoori Temptation Tikka Masala""",Indian,Dinner,9.86,"['Gluten-Free', 'Keto']",Spicy
8ad6f0a5-1a43-4499-b5c5-18eaf68eb0db,"""Wok This Way"" Stir-fried Szechuan Chicken",Chinese,Lunch,14.07,"['Gluten-Free', 'Vegetarian']",Savory
ae392869-3bcd-4042-b54d-c2bf85431df4,"""Southern Sunshine Skillet""",American,Breakfast,29.54,"['Gluten-Free', 'Vegan']",Savory
cbc95e79-1a2e-4f91-854c-f4f48911dd4d,"""Pasta Primavera Fantasia""",Italian,Dinner,15.45,"['Kosher', 'Gluten-Free']",Sweet
d9001400-22df-4f0e-af26-2eb55573e75c,"""Zesty Zucchini Ziti""",Italian,Dessert,7.42,"['Kosher', 'Vegan']",Tangy
77b1d303-48c7-4138-9f9b-8da379b96fea,"""Southern Comfort Crunchwrap""",American,Main Course,10.22,"['Kosher', 'Vegan']",Spicy
e3433450-be97-466f-84c6-44218a11afde,"""Nonna's Truffle Tango Risotto""",Italian,Main Course,17.33,"['Vegetarian', 'Keto']",Sweet
95e0cf9b-efed-4c46-a5d2-984f780daeb7,"""Spicy Basil Bliss Stir-Fry""",Thai,Dessert,19.71,"['Gluten-Free', 'Vegan']",Tangy
